Affine/Q4
VSG [pixels];Selected Point Strain component: Eyy
41;0.20025397837162
43;0.192781522870064
45;0.224897116422653
45;0.188565567135811
47;0.22407577931881
47;0.194848448038101
49;0.236774519085884
49;0.192853048443794
51;0.216655075550079
51;0.196171164512634
53;0.209910005331039
53;0.196625292301178
55;0.20523202419281
55;0.204959109425545
55;0.196899697184563
57;0.207712665200233
57;0.204091861844063
57;0.194622129201889
59;0.215558513998985
59;0.19976669549942
59;0.194071844220161
61;0.203000351786613
61;0.177356287837029
61;0.198852181434631
61;0.194775879383087
63;0.198802664875984
63;0.176194235682487
63;0.196383312344551
65;0.182406425476074
65;0.195228353142738
65;0.173777014017105
65;0.194707617163658
67;0.18359337747097
67;0.193996354937553
67;0.172889426350594
67;0.192357137799263
69;0.188295990228653
69;0.191872671246529
69;0.173393189907074
69;0.191661864519119
71;0.183154240250587
71;0.191075727343559
71;0.173576891422272
71;0.19123911857605
73;0.180919736623764
73;0.188387170433998
73;0.173532620072365
75;0.164354905486107
75;0.178925469517708
75;0.18620839715004
75;0.172472700476646
77;0.16492772102356
77;0.178306445479393
77;0.184093907475471
77;0.171892419457436
79;0.167905509471893
79;0.177592188119888
79;0.183412462472916
79;0.172367244958878
81;0.165419921278954
81;0.1553945094347
81;0.177464962005615
81;0.182703077793121
81;0.172101557254791
83;0.164332687854767
83;0.155015423893929
83;0.175973251461983
85;0.1632219851017
85;0.153823494911194
85;0.174365177750587
87;0.162964820861816
87;0.1532132178545
87;0.173256665468216
89;0.1628228276968
89;0.153133630752563
89;0.173044934868813
91;0.163237035274506
91;0.153186112642288
91;0.145764410495758
91;0.172703772783279
93;0.162707254290581
93;0.152772098779678
93;0.143735900521278
95;0.161812946200371
95;0.152132257819176
95;0.142350345849991
97;0.161265641450882
97;0.151728644967079
97;0.141678616404533
99;0.161272212862968
99;0.151973098516464
99;0.141468927264214
101;0.133892491459846
101;0.161243736743927
101;0.151834681630135
101;0.141649931669235
103;0.133844405412674
105;0.13325272500515
107;0.132859408855438
109;0.132688447833061
111;0.133020520210266
113;0.133023634552956
115;0.132905915379524
117;0.13284932076931
119;0.133050367236137
121;0.117142088711262
121;0.11936642229557
